iter	Passed	Remaining
0	99	99571
1	101	50500
2	102	34137
3	104	25999
4	105	21049
5	107	17764
6	109	15602
7	111	13836
8	113	12456
9	114	11370
10	116	10457
11	117	9708
12	119	9059
13	120	8521
14	124	8184
15	126	7756
16	127	7387
17	129	7072
18	131	6793
19	133	6523
20	134	6293
21	137	6116
22	139	5945
23	141	5751
24	142	5575
25	144	5397
26	145	5230
27	146	5076
28	147	4933
29	148	4798
30	149	4674
31	151	4594
32	153	4504
33	155	4412
34	156	4324
35	158	4239
36	159	4154
37	160	4074
38	162	4000
39	163	3927
40	165	3864
41	168	3851
42	170	3794
43	171	3736
44	173	3679
45	174	3622
46	175	3567
47	177	3514
48	178	3465
49	181	3445
50	183	3409
51	184	3364
52	186	3328
53	187	3289
54	189	3249
55	190	3209
56	191	3170
57	193	3135
58	195	3111
59	196	3084
60	198	3062
61	200	3031
62	201	3000
63	203	2969
64	204	2939
65	205	2909
66	206	2881
67	208	2853
68	211	2855
69	213	2830
70	214	2803
71	215	2783
72	217	2759
73	218	2736
74	219	2712
75	221	2690
76	222	2667
77	224	2649
78	226	2635
79	227	2614
80	229	2600
81	230	2583
82	232	2564
83	233	2544
84	234	2526
85	235	2508
86	237	2489
87	240	2492
88	242	2478
89	243	2462
90	245	2448
91	246	2433
92	247	2417
93	248	2397
94	249	2380
95	251	2366
96	252	2352
97	255	2348
98	256	2333
99	257	2319
100	258	2305
101	260	2291
102	261	2277
103	263	2266
104	264	2252
105	265	2239
106	267	2228
107	269	2226
108	270	2215
109	272	2201
110	273	2188
111	274	2175
112	275	2164
113	277	2153
114	278	2140
115	279	2127
116	280	2115
117	281	2105
118	285	2110
119	286	2103
120	288	2093
121	289	2083
122	290	2072
123	291	2062
124	293	2052
125	294	2042
126	295	2032
127	296	2022
128	298	2018
129	300	2012
130	302	2004
131	303	1995
132	304	1985
133	305	1976
134	307	1968
135	307	1956
136	309	1948
137	310	1940
138	312	1934
139	314	1932
140	316	1925
141	317	1917
142	318	1910
143	319	1902
144	321	1893
145	322	1886
146	324	1880
147	325	1873
148	327	1868
149	329	1867
150	331	1862
151	332	1855
152	333	1848
153	335	1842
154	336	1834
155	337	1828
156	339	1821
157	340	1814
158	341	1807
159	344	1807
160	345	1801
161	346	1794
162	347	1785
163	348	1778
164	350	1771
165	351	1765
166	352	1758
167	353	1751
168	355	1745
169	356	1739
170	358	1739
171	360	1734
172	361	1730
173	363	1727
174	365	1722
175	366	1717
176	368	1711
177	369	1706
178	370	1701
179	376	1714
180	378	1710
181	379	1704
182	380	1700
183	382	1695
184	383	1691
185	385	1687
186	388	1688
187	390	1686
188	391	1681
189	393	1677
190	395	1673
191	396	1668
192	397	1662
193	398	1657
194	400	1652
195	402	1650
196	404	1647
197	405	1643
198	407	1638
199	408	1633
200	409	1627
201	410	1622
202	412	1617
203	413	1613
204	414	1608
205	418	1611
206	419	1608
207	421	1604
208	422	1600
209	424	1595
210	425	1590
211	426	1586
212	428	1582
213	429	1577
214	430	1571
215	432	1570
216	434	1567
217	435	1562
218	437	1558
219	438	1554
220	439	1549
221	440	1545
222	442	1540
223	443	1535
224	444	1531
225	446	1527
226	448	1526
227	449	1522
228	450	1518
229	452	1513
230	453	1509
231	454	1504
232	455	1500
233	456	1495
234	458	1491
235	459	1487
236	462	1490
237	464	1486
238	465	1482
239	467	1479
240	468	1476
241	470	1472
242	471	1468
243	472	1464
244	475	1463
245	477	1462
246	478	1460
247	480	1456
248	481	1453
249	484	1452
250	486	1453
251	490	1455
252	491	1452
253	493	1449
254	495	1446
255	496	1443
256	498	1440
257	499	1437
258	501	1433
259	502	1429
260	506	1432
261	507	1429
262	508	1426
263	510	1424
264	512	1421
265	513	1417
266	515	1414
267	516	1411
268	519	1410
269	521	1409
270	523	1407
271	525	1405
272	526	1402
273	528	1399
274	529	1396
275	531	1393
276	533	1391
277	535	1391
278	537	1388
279	538	1385
280	540	1382
281	541	1379
282	543	1375
283	544	1372
284	545	1369
285	547	1366
286	550	1366
287	551	1364
288	553	1361
289	554	1357
290	556	1354
291	557	1351
292	558	1348
293	560	1345
294	561	1342
295	563	1339
296	565	1339
297	567	1336
298	568	1333
299	570	1330
300	571	1326
301	572	1323
302	573	1320
303	575	1316
304	576	1313
305	580	1317
306	581	1313
307	583	1310
308	584	1308
309	586	1305
310	588	1303
311	589	1300
312	591	1297
313	594	1298
314	597	1298
315	598	1295
316	599	1292
317	601	1289
318	602	1286
319	604	1283
320	605	1280
321	606	1277
322	609	1277
323	611	1275
324	612	1272
325	614	1269
326	615	1266
327	616	1263
328	619	1263
329	621	1261
330	622	1258
331	625	1258
332	627	1256
333	629	1255
334	631	1252
335	632	1249
336	633	1246
337	637	1248
338	645	1259
339	647	1257
340	651	1258
341	653	1256
342	654	1254
343	656	1251
344	657	1248
345	659	1246
346	660	1242
347	661	1239
348	663	1236
349	665	1236
350	667	1234
351	669	1231
352	670	1229
353	672	1226
354	675	1226
355	676	1223
356	677	1220
357	681	1222
358	682	1219
359	684	1217
360	686	1214
361	687	1212
362	689	1210
363	693	1211
364	697	1214
365	699	1211
366	701	1210
367	704	1209
368	705	1206
369	707	1204
370	710	1203
371	712	1202
372	713	1199
373	714	1196
374	716	1193
375	717	1190
376	718	1187
377	720	1185
378	721	1182
379	723	1180
380	725	1178
381	727	1176
382	728	1173
383	730	1171
384	731	1168
385	732	1165
386	734	1163
387	736	1162
388	740	1163
389	742	1161
390	743	1158
391	745	1156
392	747	1154
393	748	1151
394	754	1156
395	757	1154
396	758	1152
397	760	1149
398	761	1147
399	762	1144
400	764	1141
401	767	1142
402	769	1140
403	771	1137
404	772	1135
405	774	1132
406	775	1130
407	777	1127
408	778	1124
409	782	1125
410	784	1123
411	785	1121
412	787	1119
413	790	1118
414	791	1116
415	793	1113
416	795	1111
417	797	1111
418	800	1110
419	802	1107
420	803	1105
421	804	1102
422	806	1100
423	808	1097
424	811	1097
425	813	1096
426	815	1093
427	816	1091
428	818	1088
429	819	1086
430	821	1084
431	822	1081
432	826	1081
433	828	1080
434	829	1077
